patient_id,average_distance
CT-102,0.0
CT-109,0.0
CT-049,0.0
CT-056,0.0
CT-076,0.0
CT-119,0.0
CT-147,0.0
CT-054,0.8
CT-053,0.95
CT-074,0.95
CT-084,1.0
CT-155,1.0
CT-067,1.0
CT-069,1.0
CT-134,1.0
CT-172,1.0
CT-178,1.0
CT-096,1.2
CT-146,1.65
CT-073,1.75
CT-091,1.8
CT-115,1.85
CT-111,1.9
CT-176,1.95
CT-015,2.0
CT-083,2.0
CT-090,2.0
CT-107,2.0
CT-062,2.0
CT-123,2.0
CT-140,2.3
CT-142,2.4
CT-065,2.65
CT-051,2.75
CT-174,2.8
CT-150,2.85
CT-169,2.85
CT-012,2.9
CT-047,2.9
CT-055,2.9
CT-080,2.95
CT-016,3.0
CT-126,3.0
CT-127,3.0
CT-129,3.0
CT-175,3.05
CT-025,3.25
CT-087,3.75
CT-009,3.8
CT-060,3.8
CT-139,3.8
CT-128,3.85
CT-151,3.9
CT-011,3.95
CT-121,3.95
CT-163,3.95
CT-133,3.95
CT-106,4.0
CT-158,4.0
CT-138,4.0
CT-144,4.0
CT-024,4.2
CT-086,4.2
CT-117,4.8
CT-071,4.9
CT-104,4.95
CT-112,4.95
CT-136,4.95
CT-120,5.0
CT-131,5.0
CT-105,5.35
CT-041,5.6
CT-154,5.65
CT-164,5.8
CT-177,5.8
CT-100,5.85
CT-167,5.9
CT-137,5.95
CT-059,6.0
CT-184,6.45
CT-101,6.55
CT-124,6.7
CT-159,6.7
CT-023,6.9
CT-179,6.9
CT-156,7.0
CT-118,7.7
CT-108,7.75
CT-165,7.75
CT-125,7.9
CT-029,8.0
CT-042,8.8
CT-098,9.6
CT-097,10.65
CT-052,10.75
CT-153,11.5
CT-099,11.55
CT-160,11.9
CT-143,12.2
CT-075,14.4
